442|(OLDS) 37350, Oldsmobile
VEN|(CHEV) Venture (minivan), Chevrolet; (FREF) Vendome, French Ford; (PONT) Ventura, Pontiac
IMA|(ISU) I-Mark, Isuzu
206|(FERR) 206, Ferrari
TRB|(MAZD) Tribute, Mazda; (SUBA) B9 Tribeca, Subaru
PRO|(AERO) Propeller Driven; (FORD) Probe, Ford (see English, French, German, and Italian Ford); (MAZD) Familia, Protege, Mazda
MIG|(DAYO) Migi, Daytona
SAX|(AUHE) Saxon, Austin-Healy
LON|(DETO) Longchamp, DeTomaso
TSX|(ACUR) TSX, Acura
TAL|(EGIL) Talon, Eagle; (TLCC) Talbo, TLC Carrossiers; (TLCC) Talbo Lago, TLC Carrossiers
CRA|(PLYM) Cranbrook, Plymouth
TVL|(INTL) Travelall, International Harvester
ARI|(DODG) Aries, Dodge
SCO|(MERK) Scorpio, Merkur; (STU) Scotsman, Studebaker
E42|(MERZ) E420, Mercedes-Benz
AAV|(AVTI) Series A, Avanti
PTH|(NISS) Pathfinder (Armada), Nissan
TYP|(GMC) Typhoon, General Motors Corp.; (RAMB) Typhoon, Rambler (mfd. prior to 1966; 1966 and later Ramblers - see make American Motors)
RAN|(EDSE) Ranger, Edsel; (FORD) Ranchero, Ford (see English, French, German, and Italian Ford)
TGA|(PORS) Targa, Porsche
SIL|(OLDS) Silhouette, Oldsmobile
STO|(GEO) Storm, GEO
CEN|(BUIC) Century, Buick
ADV|(DESO) Adventurer, DeSoto
710|(DATS) 710, Datsun
98|(OLDS) 98, Oldsmobile
F55|(FORD) F550, Ford (see English, French, German, and Italian Ford)
4R|(MG) Princess 4-R, MG
KHA|(MASE) Khamsin, Maserati
SPS|(MG) Sports Sedan, MG
MK2|(ENGF) Mark II, English Ford (British); (LINC) Mark II, Lincoln-Continental
GOL|(VOLK) Golf, Volkswagen
G4|(PONT) G4, Pontiac
KA|(FORD) KA, Ford (see English, French, German, and Italian Ford)
203|(PEUG) 203, Peugeot
MAI|(FORD) Mainline, Ford (see English, French, German, and Italian Ford)
COQ|(FORD) Country Squire, Ford (see English, French, German, and Italian Ford); (PLYM) Conquest (vehicle years 1984-1986), Plymouth
CM6|(SANG) CM600S, Sangyong
MGO|(MERC) Montego, Mercury; (METE) Montego, Meteor (Canadian Mercury)
928|(PORS) 928, Porsche
MOD|(MODE) Model A, Model A and Model T Motor Car Reproduction Corp.
FRS|(DESO) Firesweep, DeSoto
190|(MERZ) 190 Series, Mercedes-Benz; (OPEL) 1900, Opel (imported by Buick); (VOLV) P1900, Volvo
ECO|(FORD) Econoline 100, Ford (see English, French, German, and Italian Ford); (TOYT) Echo, Toyota
20|(BMW) 200, BMW
MIC|Micra
ULT|(AERO) Ultralights
525|(BMW) 525ia, BMW; (BMW) 525i, BMW
CYC|(MERC) Cyclone, Mercury
LW|(STRN) LW-Wagon, Saturn
RL|RL
FRY|(PONI) Firefly, Pontiac (Canadian) (Also see make Pontiac)
SAB|(MERC) Sable, Mercury
QST|(NISS) Quest, Nissan
KR|(MESS) KR200, Messerschmitt
SSP|(EXCL) SS Phaeton, Excalibur; (ROL) Silver Spirit, Rolls-Royce
220|(MERZ) 220 Series, Mercedes-Benz
XJ|(JAGU) XJ, Jaguar
XK8|(JAGU) XK8, Jaguar
AMA|(KIA) Amanti, Kia Motors Corp.
SAT|(PLYM) Satellite, Plymouth
MOA|(FORD) Model A, Ford (see English, French, German, and Italian Ford)
WAV|Wave
CIM|(CADI) Cimarron, Cadillac
575|(FERR) 575 MM, Ferrari
RNG|(FORD) Ranger (pickup), Ford (see English, French, German, and Italian Ford)
30|(BMW) 3.0 Si, BMW
MTA|(PONT) Montana, Pontiac
C70|(VOLV) C70, Volvo
VOG|(SIN) Vogue, Singer
DEM|(DODG) Demon (Dart), Dodge
ELD|(CADI) Eldorado, Cadillac
244|(CLND) 244X, Cross Lander
FLS|(DODG) Fleet Special, Dodge; (SOLE) Flash, Solectria
XT6|(SUBA) XT6, Subaru
DP|(OPEL) Diplomat, Opel (imported by Buick)
HOM|(ISU) Hombre (pickup), Isuzu
456|(FERR) 456GT, Ferrari
SUF|(ASUN) Sunfire, Asuna
LYN|(MERC) Lynx, Mercury
GLC|(MAZD) GLC (&quot;Great Little Car&quot;), Mazda
R35|(DODG) Ram 3500 (pickup), Dodge; (LEXS) RX350, Lexus; (MERZ) R350 (Sport Wagon), Mercedes Benz
PRM|(DODG) Power Ram, Dodge
LAR|(STU) Lark Series, Studebaker
CRO|(IMPE) Crown, Imperial (for vehicle years 1955-1983, use VMA/IMPE; for vehicle years prior to 1955 and vehicle years 1990-1993, see make Chrysler); (TOYT) Crown, Toyota
SL2|(MERZ) SLK230, Mercedes-Benz
S90|(AUDI) Super 90, Audi; (VOLV) S90, Volvo
G43|(LEXS) GS430, Lexus
LK5|(MERZ) CLK55, Mercedes-Benz
18|(RENA) 18i, Renault
25|(ROV) Rover 25, Rover
VAN|(JAGU) Vanden Plas, Jaguar; (ASTO) Vantage, Aston Martin; (GMC) Vandura, General Motors Corp.
AVO|(CHEV) Aveo, Chevrolet
NSX|NSX
GT0|(PONT) GT0, Pontiac
FBD|(PONT) Firebird, Firehawk, Trans Am (Firebird), Pontiac
NBR|(FORD) Think Neighbor (Elec. Veh. Model Year 2002), Ford
TG0|(PONT) Tempest GT0, Pontiac
VEC|(VACR) Vector, Vector Aeromotive Corp.
320|(BMW) 320i, BMW; (MERZ) 320 Series, Mercedes-Benz
CMD|Commander
750|(BMW) 750, BMW; (FIAT) 750, Fiat; (RENA) 750, Renault; (BMW) 750i, BMW; (BMW) 750L, BMW
MZ3|(MAZD) Mazda 3, Mazda
CAT|(CADI) Catera, Cadillac; (PONT) Catalina, Pontiac
SDK|(SUZI) Sidekick, Suzuki
POL|(DODG) Polara, Dodge; (VOLK) Polo, Volkswagen
GAL|(FORD) Galaxie, Ford (see English, French, German, and Italian Ford); (MITS) Galant, Mitsubishi; (LAMO) Gallardo, Lamborghini
VIL|(EDSE) Villager, Edsel; (MERC) Villager, Mercury
OUT|(MITS) Outlander, Mitsubishi ; (STRN) Outlook, Saturn; (SUBA) Outback, Subaru
Q56|(INFI) QX56, Infiniti
LOT|(ENGF) Lotus, English Ford (British)
FUL|(LNCI) Fulvia, Lancia
ARN|(ALFA) Arna, Alfa Romeo; (AMER) American, American Motors (see make Rambler for Ramblers mfd. prior to 1966), Jeep (for vehicle years 1970-1988, use VMA/AMER); (BENT) Arnage, Bentley; (RAMB) American (AME for reference only), Rambler (mfd. prior to 1966; 1966 and later Ramblers - see make American Motors)
LID|(CHRY) Lido, Chrysler
SED|(KIA) Sedona, Kia
U10|(CHEV) U100 (Joint Venture w/Daewoo); (DAEW) U100 (Joint Venture w/Chevrolet)
GON|(RENA) Gordini, Renault
113|(VOLK) 113, Volkswagen
MGC|(MG) MGC, MG
7LR|(FORD) 7 Litre, Ford (see English, French, German, and Italian Ford)
A40|(AUST) A40, Austin
T15|(TOYT) T-150, Toyota
LR3|LR3
380|(MERZ) 380 Series, Mercedes-Benz
CTA|(ENGF) Cortina, English Ford (British)
ETY|(JAGU) &quot;E&quot; Type, Jaguar
RC|(AMER) Rambler Classic, American Motors (see make Rambler for Ramblers mfd. prior to 1966), Jeep (for vehicle years 1970-1988, use VMA/AMER)
GL|(SUBA) GL, Subaru; (VOLV) GL, Volvo
MZ5|Mazda 5 (Five)
